Type,Tags,Name,Uri
CommunityCall,"PowerShell, Microsoft, English",PowerShell Team,https://www.youtube.com/feeds/videos.xml?channel_id=UCMhQH-yJlr4_XHkwNunfMog
UserGroup,"Arizona, English",Arizona,https://www.youtube.com/feeds/videos.xml?channel_id=UC3RiZUhPQH9cANYnECWrbFA
UserGroup,"Austin, Texas, English",ATXPowerShell,https://www.youtube.com/feeds/videos.xml?channel_id=UChN0jsc6e02jAh9p9rmR_Iw
UserGroup,"Cincinnati, Ohio, English",Cincinnati PowerShell User Group,https://www.youtube.com/feeds/videos.xml?channel_id=UCbmgsFhEEGQcLKIMrClFHLg
UserGroup,"France, French",French PowerShell User Group,https://www.youtube.com/feeds/videos.xml?channel_id=UCyxicOKZNm_u1opF_xAYfDA
UserGroup,"Grand Rapids, Michigan, English",GRPosh,https://www.youtube.com/feeds/videos.xml?channel_id=UCb9jg2gj9alnFVCXuRuEVaA
UserGroup,"Mississippi, English",Mississippi,https://www.youtube.com/feeds/videos.xml?channel_id=UC7Eje7Fw3rYW3wpoyli492g
UserGroup,"Omaha, English",Omaha PSUG,https://www.youtube.com/feeds/videos.xml?channel_id=UCxO2RaP2ubFQYhJUC8jKdVQ
UserGroup,"Portland, Oregon, English",PDX PowerShell User Group,https://www.youtube.com/feeds/videos.xml?channel_id=UCaLRsNTXI-cLLIvi3apLcSw
UserGroup,"Philadelphia, Pennsylvania, English",PhillyPosh,https://www.youtube.com/feeds/videos.xml?channel_id=UCAc_ow5FIJtRpvew__9Iqzg
UserGroup,"Research Triangle Park, North Carolina, English",RTPSUG,https://www.youtube.com/feeds/videos.xml?channel_id=UCiTuB6HZiupE8CJ71vkMFnA
UserGroup,"Scottland, English",Scottish,https://www.youtube.com/feeds/videos.xml?channel_id=UC2vfwHkee-WPqVreJZzzNIA
Conference,"PowerShellOrg, Summit, USA, English",Powershell Summit 2013,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7CofI5Im8xTvqkaNzr8fBT8Ql
Conference,"PowerShellOrg, Summit, USA, English",Powershell Summit 2014,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7CoeDFBKqLcPz5eU1B2_F9MgM
Conference,"PowerShellOrg, Summit, Europe, English",Powershell Summit Europe 2014,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7Coehjg9cB6foPjBojLHYQGb_
Conference,"PowerShellOrg, Summit, Europe, English",Powershell Summit Europe 2015,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7CodimM6hjMqE13xHTPQUB8Pf
Conference,"PowerShellOrg, Summit, USA, English",DevOps Global Summit 2016,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7Coc1Jn5hC4e_XgbFUaS5jY2i
Conference,"PowerShellOrg, Summit, USA, English",DevOps Global Summit 2017,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7CoeQRT1xwtH-I3cfDvm8rNlk
Conference,"PowerShellOrg, Summit, USA, English",DevOps Global Summit 2018,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7CocGXuezOoYtLRdnK9S_Mq3e
Conference,"PowerShellConf, Europe, English",PowerShellConfEU,https://www.youtube.com/feeds/videos.xml?channel_id=UCxgrI58XiKnDDByjhRJs5fg
Conference,"PowerShellOrg, English",PowerShellOrg,https://www.youtube.com/feeds/videos.xml?channel_id=UCqIw7UUwC5fUBFXYX68aMrQ
Playlist,"Demo, English",Doug Finke's Excel module,https://www.youtube.com/feeds/videos.xml?playlist_id=PL5uoqS92stXioZw-u-ze_NtvSo0k0K0kq
Playlist,"MonthOfLunches, English",Powershell Month of Lunches,https://www.youtube.com/feeds/videos.xml?playlist_id=PL6D474E721138865A
Playlist,"TechSessions, PowerShellOrg, English",PowerShellOrg TechSessions,https://www.youtube.com/feeds/videos.xml?playlist_id=PLfeA8kIs7Cockjl15f_iEfm3_p2KJIoPZ
